NewQuestion,MC,
QuestionText,"What is the primary purpose of dimensionality reduction in machine learning?",
Option,0,"To remove features that have low variance from the dataset",
Option,100,"To find a compact representation of the data that retains as much important variation as possible using fewer features",
Option,0,"To normalize the numeric range of features before training",
Option,0,"To select the most predictive features by comparing their correlation with the target variable",

NewQuestion,MC,
QuestionText,"Why does redundancy between features motivate dimensionality reduction?",
Option,100,"When features overlap in what they measure, the distinct information they carry can be compressed into fewer dimensions without losing much",
Option,0,"Redundant features cause the model to overfit because they introduce noise",
Option,0,"Redundant features must be removed before scaling can be applied correctly",
Option,0,"Redundant features cause distance calculations to return negative values",

NewQuestion,MC,
QuestionText,"A correlation coefficient of 0.865 between total_phenols and flavanoids means which of the following?",
Option,0,"Total phenols and flavanoids are identical features that should be removed from the dataset",
Option,0,"The two features have opposite effects on the model and one should be dropped",
Option,0,"The correlation value of 0.865 indicates that flavanoids causes total phenols to increase",
Option,100,"Wines with high total phenol content tend to have high flavanoid content, and the two features are measuring overlapping chemical properties",

NewQuestion,MC,
QuestionText,"What does a correlation coefficient value near 0 between two features indicate?",
Option,0,"The two features are identical and one should be removed",
Option,0,"The two features have a strong negative relationship",
Option,100,"The two features have little linear relationship with each other",
Option,0,"The two features are both uninformative and should be dropped from the dataset",

NewQuestion,MC,
QuestionText,"What does PCA do to the original features when it transforms a dataset?",
Option,100,"It re-expresses each sample as a combination of new directions that capture the maximum variance in the data",
Option,0,"It selects the most important original features and discards the rest",
Option,0,"It scales each feature to have mean 0 and standard deviation 1",
Option,0,"It removes correlated features and replaces them with their average",

NewQuestion,MC,
QuestionText,"Which module in scikit-learn contains the PCA class?",
Option,0,"sklearn.preprocessing",
Option,0,"sklearn.model_selection",
Option,0,"sklearn.feature_selection",
Option,100,"sklearn.decomposition",

NewQuestion,MC,
QuestionText,"Why must data be scaled before applying PCA?",
Option,0,"PCA requires all values to be between 0 and 1 or it will produce an error",
Option,100,"PCA finds directions of maximum variance, and unscaled features with larger ranges will dominate the variance calculation regardless of their actual importance",
Option,0,"Scaling ensures that the principal components are perpendicular to each other",
Option,0,"PCA cannot compute a correlation matrix on unscaled data",

NewQuestion,MC,
QuestionText,"The fit-on-training rule applies to PCA the same way it applies to scalers. What does this mean in practice?",
Option,0,"PCA must be fit on the test set to ensure the principal components reflect unseen data",
Option,0,"PCA must be fit on the full dataset before splitting to capture all variance",
Option,100,"PCA is fit on the training data only, and the same components learned from training are used to transform both the training and test sets",
Option,0,"PCA is fit and transformed in a single step on both sets simultaneously",

NewQuestion,MC,
QuestionText,"In the Week 12 demo, PCA with n_components=2 transformed the training data from shape (133, 13) to shape (133, 2). What do the values in the two new columns represent?",
Option,0,"The values are the original feature values rescaled to a common range",
Option,0,"The values are the correlation coefficients between the original features and the target variable",
Option,0,"The values are the mean-centered versions of the two most important original features",
Option,100,"Each value is the coordinate of that sample along a principal component, representing its position in the direction of maximum variance",

NewQuestion,MC,
QuestionText,"What does the n_components parameter in PCA control?",
Option,100,"How many principal components are kept after the transformation, determining the number of dimensions in the output",
Option,0,"The number of features in the original dataset that PCA will examine",
Option,0,"The minimum explained variance ratio each component must capture to be retained",
Option,0,"The number of iterations PCA uses to find the principal components",

NewQuestion,MC,
QuestionText,"After fitting PCA with n_components=2 on the Wine dataset training data, PC1 explained 36.4% of variance and PC2 explained 18.6%. What does this mean?",
Option,0,"PC1 is 36.4% accurate and PC2 is 18.6% accurate when used for classification",
Option,0,"36.4% of the wine samples are best described by PC1 and 18.6% are best described by PC2",
Option,100,"Together the two components capture 55.0% of the total variation in the dataset, with the remaining 45.0% discarded",
Option,0,"PC1 uses 36.4% of the original features and PC2 uses 18.6% of the original features",

NewQuestion,MC,
QuestionText,"In the Week 12 demo, PCA() was used with no n_components argument. What does this produce?",
Option,0,"PCA raises an error because n_components is required",
