NewQuestion,MC,
QuestionText,"What is the key difference between clustering and classification?",
Option,0,"Clustering requires more training data than classification",
Option,100,"Clustering does not use labels during training and has no ground truth to evaluate against",
Option,0,"Clustering can only find two groups while classification can find many",
Option,0,"Clustering uses a target column y while classification does not",

NewQuestion,MC,
QuestionText,"After clustering runs, a data point is assigned to Cluster 0. What does that number mean?",
Option,0,"The point is the most representative example in the dataset",
Option,0,"The point was the first one processed by the algorithm",
Option,100,"The point belongs to the same group as other points labeled 0, but the number itself has no inherent meaning",
Option,0,"The point is the closest to the dataset centroid",

NewQuestion,MC,
QuestionText,"What does the Update step do in the k-Means assign/update cycle?",
Option,100,"It moves each cluster center to the average position of all points currently assigned to it",
Option,0,"It removes data points that are far from any cluster center",
Option,0,"It assigns each point to the nearest cluster center",
Option,0,"It increases n_clusters by one if the current assignment is poor",

NewQuestion,MC,
QuestionText,"You run KMeans with n_clusters=4 on a dataset that actually contains 3 natural groups. What happens?",
Option,100,"The algorithm produces exactly 4 clusters by splitting one of the natural groups",
Option,0,"The algorithm raises an error because the number of clusters does not match the data",
Option,0,"The algorithm detects the mismatch and automatically reduces to 3 clusters",
Option,0,"The algorithm produces 3 clusters and ignores the extra one",

NewQuestion,MC,
QuestionText,"Which of the three clustering algorithms covered in this week's demo supports the predict method for assigning new data points after fitting?",
Option,100,"KMeans only",
Option,0,"AgglomerativeClustering only",
Option,0,"DBSCAN only",
Option,0,"Both AgglomerativeClustering and DBSCAN",

NewQuestion,MC,
QuestionText,"Why does agglomerative clustering have no predict method?",
Option,0,"It was not implemented in scikit-learn due to computational cost",
Option,100,"The hierarchical merging process produces assignments only for the points it was given and there is no general rule for placing a new point in the hierarchy",
Option,0,"It uses a different import path that does not support predict",
Option,0,"Agglomerative clustering always requires the full dataset to be present at prediction time",

NewQuestion,MC,
QuestionText,"What does the eps parameter control in DBSCAN?",
Option,0,"The minimum number of clusters the algorithm must find",
Option,0,"The maximum number of noise points allowed before the algorithm stops",
Option,100,"The maximum distance between two points for them to be considered neighbors",
Option,0,"The number of times the algorithm restarts with different initializations",

NewQuestion,MC,
QuestionText,"Why must data be scaled before applying DBSCAN?",
Option,0,"DBSCAN requires all features to be between 0 and 1",
Option,100,"DBSCAN uses distance to define neighborhoods and unscaled features with large ranges would dominate the distance calculation, making eps meaningless for smaller-range features",
Option,0,"Scaling prevents noise points from being mislabeled as core points",
Option,0,"DBSCAN cannot handle negative feature values without scaling",

NewQuestion,MC,
QuestionText,"The silhouette score for a clustering result is 0.82. What does this indicate?",
Option,0,"The clustering algorithm made errors on 18% of the data points",
Option,0,"The clusters overlap by 18%",
Option,0,"The algorithm found 82% of the true clusters in the data",
Option,100,"Points are on average well-matched to their own cluster and well-separated from other clusters",

NewQuestion,MC,
QuestionText,"k-Means produces a higher silhouette score than DBSCAN on a dataset with two crescent-shaped clusters. What is the most likely explanation?",
Option,0,"k-Means found the correct clustering and DBSCAN failed on this data",
Option,0,"The silhouette score is higher because k-Means used more iterations",
Option,0,"DBSCAN labeled too many points as noise, reducing its score",
Option,100,"The silhouette score rewards compact blob-shaped clusters, which k-Means always produces regardless of whether they match the actual structure of the data",

NewQuestion,M,
QuestionText,"Match each clustering algorithm with its most distinctive characteristic.",
Choice,1,"KMeans",
Match,1,"Requires the number of clusters to be specified and supports predict for new points",
Choice,2,"AgglomerativeClustering",
Match,2,"Starts with every point as its own cluster and merges upward until the target number remains",
Choice,3,"DBSCAN",
Match,3,"Identifies dense regions and labels isolated points as noise without requiring a cluster count",

NewQuestion,M,
QuestionText,"Match each DBSCAN term with its definition.",
Choice,1,"Core point",
Match,1,"Has at least min_samples neighbors within distance eps",
Choice,2,"Boundary point",
Match,2,"Within eps of a core point but does not have enough neighbors to be a core point itself",
Choice,3,"Noise point",
Match,3,"Not within eps of any core point and assigned the label -1",
Choice,4,"eps",
Match,4,"The distance threshold that defines the neighborhood around each point",

NewQuestion,MS,
QuestionText,"Which of the following are true about clustering compared to supervised classification? (Select all that apply)",
Option,1,"Clustering does not use a target column y during training",
Option,0,"Clustering always produces fewer groups than classification",
Option,1,"Cluster labels assigned by the algorithm are arbitrary and have no inherent meaning",
Option,1,"Clustering results cannot be evaluated with an accuracy score against ground truth",

NewQuestion,MS,
QuestionText,"Which of the following are true about DBSCAN? (Select all that apply)",
Option,1,"It does not require the user to specify the number of clusters in advance",
Option,1,"It can find clusters of arbitrary shape including crescents and rings",
Option,0,"It supports the predict method for assigning new points after fitting",
Option,1,"Data should be scaled before applying DBSCAN because it uses distance",

NewQuestion,MS,
QuestionText,"Which of the following are limitations of the silhouette score as a clustering evaluation metric? (Select all that apply)",
Option,1,"It measures compactness rather than whether the clusters match the true structure of the data",
Option,1,"It systematically favors k-Means because k-Means is designed to produce the compact blob-shaped clusters the metric rewards",
Option,0,"It requires ground truth labels to compute",
Option,1,"It can rank a visually wrong clustering higher than a visually correct one when the true clusters are not blob-shaped",

