NewQuestion,MC,
QuestionText,"What is preprocessing in the context of machine learning?",
Option,100,"Any transformation applied to raw data to prepare it for modeling before training begins",
Option,0,"A learning step where the model adjusts its weights based on the input features",
Option,0,"The process of evaluating a model on the test set after training",
Option,0,"A method for selecting which features to include in the model",

NewQuestion,MC,
QuestionText,"Why is preprocessing considered an unsupervised operation?",
Option,0,"It is only used with unsupervised learning algorithms like clustering",
Option,100,"It only looks at the feature data X and does not use the target labels y",
Option,0,"It does not require a train/test split",
Option,0,"It learns from both X and y but does not make predictions",

NewQuestion,MC,
QuestionText,"Why does feature scale affect kNN classification performance?",
Option,0,"kNN uses a weighted formula where larger features receive larger coefficients",
Option,0,"kNN requires all features to be on the same scale to store training data correctly",
Option,100,"kNN computes distances between data points, and features with larger ranges contribute more to those distances",
Option,0,"kNN uses feature importance rankings that are skewed by large-scale features",

NewQuestion,MC,
QuestionText,"In the Week 10 demo, proline has a range of about 1,402 and nonflavanoid_phenols has a range of about 0.53. What is the practical consequence for kNN?",
Option,0,"kNN will ignore nonflavanoid_phenols entirely and use only proline",
Option,0,"kNN will weight proline and nonflavanoid_phenols equally because it uses all features",
Option,0,"kNN will automatically normalize the features internally before computing distances",
Option,100,"Proline will dominate distance calculations and nonflavanoid_phenols will contribute almost nothing",

NewQuestion,MC,
QuestionText,"Which module in scikit-learn contains StandardScaler and MinMaxScaler?",
Option,100,"sklearn.preprocessing",
Option,0,"sklearn.model_selection",
Option,0,"sklearn.pipeline",
Option,0,"sklearn.datasets",

NewQuestion,MC,
QuestionText,"What does StandardScaler compute during its fit step?",
Option,0,"The minimum and maximum value of each feature",
Option,100,"The mean and standard deviation of each feature",
Option,0,"The median and interquartile range of each feature",
Option,0,"The range and variance of each feature",

NewQuestion,MC,
QuestionText,"After applying StandardScaler to a feature, what are the approximate mean and standard deviation of the transformed values?",
Option,0,"Mean of 1 and standard deviation of 0",
Option,0,"Mean of 0.5 and standard deviation of 0.5",
Option,100,"Mean of 0 and standard deviation of 1",
Option,0,"Mean of 1 and standard deviation of 1",

NewQuestion,MC,
QuestionText,"A student fits a StandardScaler and then calls transform on the training set. What must they do next?",
Option,0,"Fit the scaler again on the test set before transforming it",
Option,0,"Create a new scaler object for the test set",
Option,0,"Call fit_transform on the test set to apply fresh statistics",
Option,100,"Call transform on the test set using the same scaler fitted on the training data",

NewQuestion,MC,
QuestionText,"What does MinMaxScaler compute during its fit step?",
Option,100,"The minimum and maximum value of each feature",
Option,0,"The mean and standard deviation of each feature",
Option,0,"The median and interquartile range of each feature",
Option,0,"The sum and count of each feature",

NewQuestion,MC,
QuestionText,"After applying MinMaxScaler to a feature column using the training data, what range are the transformed training values guaranteed to fall within?",
Option,0,"Approximately -3 to +3",
Option,100,"0 to 1",
Option,0,"-1 to 1",
Option,0,"0 to 100",

NewQuestion,MC,
QuestionText,"Which statement correctly describes a key difference between StandardScaler and MinMaxScaler?",
Option,0,"StandardScaler produces bounded output values while MinMaxScaler does not",
Option,0,"MinMaxScaler uses mean and standard deviation while StandardScaler uses minimum and maximum",
Option,100,"StandardScaler produces no guaranteed minimum or maximum, while MinMaxScaler guarantees output falls between 0 and 1",
Option,0,"StandardScaler and MinMaxScaler produce identical results on any dataset",

NewQuestion,MC,
QuestionText,"In the Week 10 demo, kNN test accuracy on unscaled data was 0.711. After applying StandardScaler, test accuracy became 0.956. What changed to produce this improvement?",
Option,0,"The kNN algorithm was retrained with a different number of neighbors",
Option,0,"The wine dataset was replaced with a cleaner version of the data",
Option,0,"Irrelevant features were removed from the dataset before retraining",
Option,100,"All features now contribute proportionally to distance calculations instead of being dominated by high-range features",

NewQuestion,MC,
QuestionText,"What is the fit-on-training rule when using a scaler?",
Option,100,"Fit the scaler only on the training data, then use those statistics to transform both the training and test sets",
Option,0,"Fit the scaler on the full dataset before splitting, then transform each set separately",
Option,0,"Fit the scaler on the test set and apply the same statistics to the training set",
Option,0,"Fit and transform the training set, then fit and transform the test set independently",

NewQuestion,MC,
QuestionText,"Why is it incorrect to fit a scaler on the full dataset before splitting into train and test sets?",
Option,0,"It causes the scaler to compute incorrect statistics because the dataset is too large",
Option,100,"It leaks information about the test set into the training process, making accuracy estimates too optimistic",
Option,0,"It prevents the scaler from learning the correct mean and standard deviation",
Option,0,"It causes the training and test sets to end up on different scales",

NewQuestion,MC,
QuestionText,"After fitting a StandardScaler on the training data, where are the computed statistics stored?",
Option,0,"In a separate file that must be saved manually",
Option,0,"In the transformed training array X_train_scaled",
Option,100,"In the scaler object itself, accessible via attributes like scaler.mean_ and scaler.var_",
Option,0,"In the original X_train array, which is modified in place",

NewQuestion,MC,
QuestionText,"Which of the following algorithms does NOT benefit from feature scaling?",
Option,0,"k-Nearest Neighbors",
Option,0,"Support Vector Machine",
Option,0,"Logistic Regression",
Option,100,"Decision Tree",

NewQuestion,MC,
QuestionText,"Why do decision trees not require feature scaling?",
Option,100,"Decision trees split on one feature at a time, so the relative scale between features does not affect the splits",
Option,0,"Decision trees internally normalize all features before learning splits",
Option,0,"Decision trees do not compute distances, but they still require features to be on a similar scale",
Option,0,"Decision trees use feature importance rankings that automatically correct for scale differences",

NewQuestion,MC,
QuestionText,"A colleague fits a MinMaxScaler on the test set and then transforms both the training and test sets using those test statistics. What is the problem with this approach?",
Option,0,"MinMaxScaler cannot be fit on the test set because it does not support that method",
Option,100,"The training set is transformed using statistics from the test set, leaking test information into training",
Option,0,"The resulting values will not fall between 0 and 1",
Option,0,"The scaler will produce different results for the training and test sets",

NewQuestion,MC,
QuestionText,"What does the three-step fit/transform pattern for scalers consist of?",
Option,0,"Split the data, fit on the full dataset, transform the training set only",
Option,0,"Fit on training, fit on test, transform both sets using combined statistics",
Option,100,"Create the scaler, fit on training data only, transform both training and test sets",
Option,0,"Create the scaler, transform training data, then fit and transform the test data",

NewQuestion,MC,
QuestionText,"Scaling is described as technically unsupervised but used in service of supervised learning. What does this mean in practice?",
Option,0,"Scaling replaces the supervised training step when features have different ranges",
Option,0,"Scaling is applied after training the supervised model to improve its weights",
Option,0,"Scaling transforms y as well as X to ensure the target is also on a common scale",
Option,100,"The scaler only looks at X with no y involved, but it is applied before training a supervised model that does use y",

NewQuestion,M,
QuestionText,"Match each scaler with what it computes during the fit step.",
Choice,1,"StandardScaler",
Match,1,"Mean and standard deviation of each feature",
